Thu Feb 26 16:47:10 2026    numpy_profile.prof

         77 function calls in 0.604 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.604    0.604 {built-in method builtins.exec}
        1    0.001    0.001    0.604    0.604 <string>:1(<module>)
        1    0.599    0.599    0.603    0.603 /Users/mathias/AAU/NSC/mandelbrot-nsc/mandelbrot.py:21(mandelbrot_numpy)
        1    0.000    0.000    0.001    0.001 /Users/mathias/miniforge3/envs/nsc/lib/python3.11/site-packages/numpy/lib/_function_base_impl.py:5134(meshgrid)
        1    0.001    0.001    0.001    0.001 /Users/mathias/miniforge3/envs/nsc/lib/python3.11/site-packages/numpy/_core/numeric.py:98(zeros_like)
        3    0.000    0.000    0.001    0.000 /Users/mathias/miniforge3/envs/nsc/lib/python3.11/site-packages/numpy/lib/_function_base_impl.py:5280(<genexpr>)
        2    0.001    0.001    0.001    0.001 {method 'copy' of 'numpy.ndarray' objects}
        2    0.001    0.000    0.001    0.000 {built-in method numpy.zeros}
        2    0.000    0.000    0.000    0.000 /Users/mathias/miniforge3/envs/nsc/lib/python3.11/site-packages/numpy/_core/function_base.py:26(linspace)
        1    0.000    0.000    0.000    0.000 /Users/mathias/miniforge3/envs/nsc/lib/python3.11/site-packages/numpy/lib/_stride_tricks_impl.py:481(broadcast_arrays)
        1    0.000    0.000    0.000    0.000 /Users/mathias/miniforge3/envs/nsc/lib/python3.11/site-packages/numpy/lib/_stride_tricks_impl.py:546(<listcomp>)
        2    0.000    0.000    0.000    0.000 /Users/mathias/miniforge3/envs/nsc/lib/python3.11/site-packages/numpy/lib/_stride_tricks_impl.py:340(_broadcast_to)
        2    0.000    0.000    0.000    0.000 {built-in method numpy.arange}
        1    0.000    0.000    0.000    0.000 /Users/mathias/miniforge3/envs/nsc/lib/python3.11/site-packages/numpy/lib/_stride_tricks_impl.py:413(_broadcast_shape)
        1    0.000    0.000    0.000    0.000 /Users/mathias/miniforge3/envs/nsc/lib/python3.11/site-packages/numpy/lib/_function_base_impl.py:5267(<listcomp>)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.any}
        4    0.000    0.000    0.000    0.000 {method 'reshape' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 /Users/mathias/miniforge3/envs/nsc/lib/python3.11/site-packages/numpy/lib/_stride_tricks_impl.py:542(<listcomp>)
        2    0.000    0.000    0.000    0.000 /Users/mathias/miniforge3/envs/nsc/lib/python3.11/site-packages/numpy/_core/numeric.py:1964(isscalar)
        2    0.000    0.000    0.000    0.000 /Users/mathias/miniforge3/envs/nsc/lib/python3.11/site-packages/numpy/lib/_function_base_impl.py:358(iterable)
        6    0.000    0.000    0.000    0.000 /Users/mathias/miniforge3/envs/nsc/lib/python3.11/site-packages/numpy/lib/_stride_tricks_impl.py:345(<genexpr>)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        2    0.000    0.000    0.000    0.000 {method 'result_type' of 'numpy._core._multiarray_umath._array_converter' objects}
        4    0.000    0.000    0.000    0.000 {built-in method numpy.array}
        2    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.ndarray' objects}
        2    0.000    0.000    0.000    0.000 {method 'as_arrays' of 'numpy._core._multiarray_umath._array_converter' objects}
        1    0.000    0.000    0.000    0.000 /Users/mathias/miniforge3/envs/nsc/lib/python3.11/site-packages/numpy/_core/numeric.py:92(_zeros_like_dispatcher)
        2    0.000    0.000    0.000    0.000 /Users/mathias/miniforge3/envs/nsc/lib/python3.11/site-packages/numpy/lib/_stride_tricks_impl.py:24(_maybe_view_as_subclass)
        2    0.000    0.000    0.000    0.000 /Users/mathias/miniforge3/envs/nsc/lib/python3.11/site-packages/numpy/_core/fromnumeric.py:3523(ndim)
        2    0.000    0.000    0.000    0.000 {method 'wrap' of 'numpy._core._multiarray_umath._array_converter' objects}
        2    0.000    0.000    0.000    0.000 {built-in method numpy.asanyarray}
        2    0.000    0.000    0.000    0.000 {method '__exit__' of 'numpy.nditer' objects}
        2    0.000    0.000    0.000    0.000 /Users/mathias/miniforge3/envs/nsc/lib/python3.11/site-packages/numpy/_core/function_base.py:21(_linspace_dispatcher)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        2    0.000    0.000    0.000    0.000 {built-in method builtins.len}
        2    0.000    0.000    0.000    0.000 {built-in method _operator.index}
        2    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
        2    0.000    0.000    0.000    0.000 /Users/mathias/miniforge3/envs/nsc/lib/python3.11/site-packages/numpy/_core/fromnumeric.py:3519(_ndim_dispatcher)
        1    0.000    0.000    0.000    0.000 /Users/mathias/miniforge3/envs/nsc/lib/python3.11/site-packages/numpy/lib/_function_base_impl.py:5129(_meshgrid_dispatcher)
        1    0.000    0.000    0.000    0.000 /Users/mathias/miniforge3/envs/nsc/lib/python3.11/site-packages/numpy/_core/multiarray.py:115(empty_like)
        1    0.000    0.000    0.000    0.000 /Users/mathias/miniforge3/envs/nsc/lib/python3.11/site-packages/numpy/_core/multiarray.py:1106(copyto)
        1    0.000    0.000    0.000    0.000 /Users/mathias/miniforge3/envs/nsc/lib/python3.11/site-packages/numpy/lib/_stride_tricks_impl.py:477(_broadcast_arrays_dispatcher)


